date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:40:14	115876/115876	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22fef865f1f3334c318a1ecd576cb20013%22	https://thecoffeehouse.com/pages/1000677862	D:/Httrack/Demo1/thecoffeehouse.com/pages/1000677862	(from https://thecoffeehouse.com/pages/danh-sach-cua-hang)
21:40:14	115876/115876	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22e32aafc8270d4e9b84033e34b80ba85d%22	https://thecoffeehouse.com/pages/1000681365	D:/Httrack/Demo1/thecoffeehouse.com/pages/1000681365	(from https://thecoffeehouse.com/pages/danh-sach-cua-hang)
21:40:15	115876/115876	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%221903d56fb4d543aa8f8de3bc0d424408%22	https://thecoffeehouse.com/pages/1000683141	D:/Httrack/Demo1/thecoffeehouse.com/pages/1000683141	(from https://thecoffeehouse.com/pages/danh-sach-cua-hang)
21:40:15	115876/115876	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2255f85222874645d5b78fac41ba82aaef%22	https://thecoffeehouse.com/pages/1000683159	D:/Httrack/Demo1/thecoffeehouse.com/pages/1000683159	(from https://thecoffeehouse.com/pages/danh-sach-cua-hang)
21:40:15	115876/115876	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%224c747ccdbc9741b58e5150f20dc8a638%22	https://thecoffeehouse.com/pages/1000683168	D:/Httrack/Demo1/thecoffeehouse.com/pages/1000683168	(from https://thecoffeehouse.com/pages/danh-sach-cua-hang)
21:40:16	115876/115876	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2200512b717fc04fa89dc1ae9aee34d891%22	https://thecoffeehouse.com/pages/1000683217	D:/Httrack/Demo1/thecoffeehouse.com/pages/1000683217	(from https://thecoffeehouse.com/pages/danh-sach-cua-hang)
21:40:16	115876/115876	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22182d4c44d5f046db9709b97953d946e4%22	https://thecoffeehouse.com/pages/1000683219	D:/Httrack/Demo1/thecoffeehouse.com/pages/1000683219	(from https://thecoffeehouse.com/pages/danh-sach-cua-hang)
21:40:16	115876/115876	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2281da3963b3f14fc59e0a163a3c75e077%22	https://thecoffeehouse.com/pages/1000683220	D:/Httrack/Demo1/thecoffeehouse.com/pages/1000683220	(from https://thecoffeehouse.com/pages/danh-sach-cua-hang)
21:40:17	115876/115876	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22edf1c7a720544fa2a438b5537a5cc51e%22	https://thecoffeehouse.com/pages/1000683221	D:/Httrack/Demo1/thecoffeehouse.com/pages/1000683221	(from https://thecoffeehouse.com/pages/danh-sach-cua-hang)
21:40:17	115876/115876	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22304a6778555f4e909efb90abacb15ffd%22	https://thecoffeehouse.com/pages/1000683229	D:/Httrack/Demo1/thecoffeehouse.com/pages/1000683229	(from https://thecoffeehouse.com/pages/danh-sach-cua-hang)
21:40:17	115876/115876	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22bf2816844fbd47ebab163463ae0ccfee%22	https://thecoffeehouse.com/pages/1000683231	D:/Httrack/Demo1/thecoffeehouse.com/pages/1000683231	(from https://thecoffeehouse.com/pages/danh-sach-cua-hang)
21:40:18	115876/115876	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%227bbc275f2b1c443b9f30fe7779462e27%22	https://thecoffeehouse.com/pages/1000683271	D:/Httrack/Demo1/thecoffeehouse.com/pages/1000683271	(from https://thecoffeehouse.com/pages/danh-sach-cua-hang)
21:40:18	115876/115876	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22a14da0f5039f4767bab7db3e3dada768%22	https://thecoffeehouse.com/pages/1000683272	D:/Httrack/Demo1/thecoffeehouse.com/pages/1000683272	(from https://thecoffeehouse.com/pages/danh-sach-cua-hang)
